"","Site","Latitude","Longtitude","upwelling","Upwelling"
"1","PuntaPrieta",27.88691,-115.18875,0,"weak"
"2","MorroPrieto",27.87984,-115.21378,1,"strong"
"3","ElBajo",27.8105,-114.50412,0,"weak"
"4","Bocanita",26.79495,-113.72841,1,"strong"
"5","ClamBay",27.62015,-114.84217,1,"strong"
"6","Sportfish",29.79099,-115.80957,1,"strong"
"7","LosGavilanes",27.10345,-114.2965,1,"strong"
"8","Monterey",36.621,-121.899,0,"weak"
"9","PiedraPato",27.00639,-114.04489,1,"strong"
"10","PuertoCastro",27.17093,-114.42178,1,"strong"
"11","ElKino",26.74856,-113.50941,0,"weak"
"12","LosMuertitos",27.83632,-115.07539,1,"strong"
"13","PuntaNorte",28.3532,-115.19258,0,"weak"
"14","PuntaPerico",27.5271,-114.74084,1,"strong"
"15","Rincon",26.77482,-113.69234,1,"strong"
"16","LaJolla",32.853095,-117.267327,1,"strong"
"17","SanHipolito",26.987267,-113.971817,1,"strong"
"18","VanDamme",39.271833,-123.795633,1,"strong"
